bid_id,bid_number,item_category,items_count,department,ministry,buyer_name,quantity,bid_value,bid_status,start_date,end_date,bid_link
GEM/2026/B/7527679,GEM/2026/B/7527679,Facility Management Services - LumpSum Based - WATER TANKER REPAIR; WATER TANKER REPAIR; Consumable,1,Rural Development Department Uttar Pradesh,,Rural Development Department Uttar Pradesh,1,0.0,Bid Award,2026-05-12T14:26:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9315836
GEM/2026/B/7527596,GEM/2026/B/7527596,High Mast Lighting Octagonal Tower for Small area with LED Flood Lighting System (V2),1,Rural Development Department Uttar Pradesh,,Rural Development Department Uttar Pradesh,1,0.0,Bid Award,2026-05-12T14:35:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9315744
GEM/2026/B/7527592,GEM/2026/B/7527592,High Mast Lighting Octagonal Tower for Small area with LED Flood Lighting System (V2),1,Rural Development Department Uttar Pradesh,,Rural Development Department Uttar Pradesh,1,0.0,Bid Award,2026-05-12T14:35:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9315740
GEM/2026/B/7527569,GEM/2026/B/7527569,High Mast Lighting Octagonal Tower for Small area with LED Flood Lighting System (V2),1,Rural Development Department Uttar Pradesh,,Rural Development Department Uttar Pradesh,1,0.0,Bid Award,2026-05-12T14:34:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9315715
GEM/2026/B/7497804,GEM/2026/B/7497804,"Supply of Superstructure of Large Store Shelter,Supply of Construction Material,Supply of electroni",3,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,6,0.0,Bid Award,2026-05-21T21:00:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9282523
GEM/2026/B/7489476,GEM/2026/B/7489476,Super Structure Supply of Combined Toilet Block CTB 7.32M x 7.10M x 4.40M Height as per CE HQ 4 Cor,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,2293,0.0,Bid Award,2026-05-21T21:00:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9273241
GEM/2026/B/7501724,GEM/2026/B/7501724,AUTOMATIC BOOM BARRIER,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,1,0.0,Bid Award,2026-05-21T21:00:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9287038
GEM/2026/B/7532604,GEM/2026/B/7532604,Table (Handicraft) (V2),1,Department of Panchayati Raj,,Department of Panchayati Raj,1,0.0,Bid Award,2026-05-12T20:23:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9321186
GEM/2026/B/7532603,GEM/2026/B/7532603,Procurement of Refrigerator 180 ltr,1,Department of Defence,Ministry of Defence,Department of Defence,1,0.0,Bid Award,2026-05-12T20:24:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9321185
GEM/2026/B/7518135,GEM/2026/B/7518135,Cheese,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,235,0.0,Bid Award,2026-05-21T20:00:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9305045
GEM/2026/B/7518196,GEM/2026/B/7518196,Cheese,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,195,0.0,Bid Award,2026-05-21T20:00:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9305110
GEM/2026/B/7517998,GEM/2026/B/7517998,Cheese,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,215,0.0,Bid Award,2026-05-21T20:00:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9304894
GEM/2026/B/7532438,GEM/2026/B/7532438,"Fuel Filter Main,2nd Leaf,Repair Kit,Alternator 12V,Wheel Cylinder Rear",5,Department of Defence,Ministry of Defence,Department of Defence,16,0.0,Bid Award,2026-05-12T19:18:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9320999
GEM/2026/B/7532412,GEM/2026/B/7532412,"Tie Rod End Steering,Shock absorber frt,Cabin Shocker,Sleeve cylinder assy,Injector assy,Elect Inje",6,Department of Defence,Ministry of Defence,Department of Defence,19,0.0,Bid Award,2026-05-12T19:07:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9320970
GEM/2026/B/7522684,GEM/2026/B/7522684,"hydraulic pressure hose,fuel filter element,element filter 30micro,hand primer,stearing pump",5,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,8,0.0,Bid Award,2026-05-09T19:05:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9310083
GEM/2026/B/7514165,GEM/2026/B/7514165,"TROMEL MACHINE GEAR BOX,ROLLER FOR GEAR BOX1 POINT 7 5,ROLLER FOR GEAR BOX1 POINT 5,ROLLER FOR PEND",4,Urban Development Department Uttar Pradesh,,Urban Development Department Uttar Pradesh,31,0.0,Bid Award,2026-05-07T15:51:00,2026-05-22T20:00:00,https://bidplus.gem.gov.in/showbidDocument/9300640
GEM/2026/B/7537573,GEM/2026/B/7537573,Repair and Overhauling Service - Multifunction Machines MFM; 45577; Yes; Buyer Premises,1,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,1,0.0,Bid Award,2026-05-19T18:36:00,2026-05-22T19:00:00,https://bidplus.gem.gov.in/showbidDocument/9326562
GEM/2026/B/7493754,GEM/2026/B/7493754,"Cheese Spread,Cheese Slice,Cheese Cube,Carbonated Soft Drinks,Lime Based Soft Drinks,Mixed Fruit Ju",6,Department of Military Affairs,Ministry of Defence,Department of Military Affairs,2650,0.0,Bid Award,2026-05-21T19:00:00,2026-05-22T19:00:00,https://bidplus.gem.gov.in/showbidDocument/9277960
GEM/2026/B/7532581,GEM/2026/B/7532581,RO Plant with Genset and Trolley,1,Department of Panchayati Raj,,Department of Panchayati Raj,1,0.0,Bid Award,2026-05-12T20:07:00,2026-05-22T21:00:00,https://bidplus.gem.gov.in/showbidDocument/9321157
